top_casual_formal,top_minimal_colorful,top_fitted_oversized,top_feminine_masculine,top_simple_ornate,bottom_casual_formal,bottom_minimal_colorful,bottom_fitted_oversized,bottom_feminine_masculine,bottom_simple_ornate,outfit_casual_formal,outfit_minimal_colorful,outfit_fitted_oversized,outfit_feminine_masculine,outfit_simple_ornate,outfit_match,temperature,rain,cloud
0.5333,0.2,0.4,0.6,0.0667,0.6,0.0,0.3333,0.5333,0.0,0.4,0.2,0.3333,0.3333,0.2667,0.5333,0.9615,0.02,0.18
0.8667,0.0667,0.2,0.5333,0.0,0.4,0.0,0.4667,0.4667,0.0,0.5333,0.1333,0.4667,0.8667,0.2667,0.7333,0.8462,0.04,0.38
0.1333,0.0,0.6667,0.4667,0.0,0.0,0.0,0.6,0.4667,0.0,0.0,0.1333,0.8667,0.4667,0.0667,0.8,0.0769,0.18,0.45
0.2,0.0,0.4,0.4667,0.0,0.2,0.7333,0.7333,0.0667,0.1333,0.1333,0.2,0.6667,0.5333,0.3333,0.2,0.5,0.73,0.7
0.7333,0.2,0.2,0.5333,0.0,0.4,0.2667,0.5333,0.0,0.0,0.0,1.0,0.6,0.0,0.2,0.0,0.8846,0.12,0.31
0.1333,0.3333,0.2,0.6,0.0,0.4,0.0667,0.4667,0.4667,0.0,0.2,0.1333,0.4,0.6667,0.0667,0.2667,0.6923,0.16,0.64
0.0667,0.0,0.5333,0.5333,0.0667,0.4667,0.0,0.5333,0.4,0.0,0.1333,0.0,0.4667,0.5333,0.0,0.8667,0.4231,0.82,0.79
0.2,0.3333,0.7333,0.5333,0.1333,0.4,0.0667,0.4667,0.4667,0.0,0.0667,0.4,0.5333,0.4667,0.0667,1.0,0.2308,0.46,0.88
0.0667,0.0,0.5333,0.5333,0.0667,0.4667,0.0,0.5333,0.4,0.0,0.1333,0.0,0.4667,0.5333,0.0,0.8667,0.4231,0.82,0.79
0.2,0.3333,0.7333,0.5333,0.1333,0.4,0.0667,0.4667,0.4667,0.0,0.0667,0.4,0.5333,0.4667,0.0667,1.0,0.2308,0.46,0.88
0.0667,0.0,0.5333,0.5333,0.0667,0.4667,0.4667,0.5333,0.4667,0.4667,0.0,0.0667,0.6,0.5333,0.0,0.6,0.3846,0.89,0.94
0.3333,0.6,0.4,0.5333,0.0,0.4667,0.4667,0.5333,0.4667,0.4667,0.1333,0.0,0.5333,0.6667,0.0,0.5333,0.3462,0.7,0.870,0.1333,0.0,0.6667,0.4667,0.0,0.1333,0.0667,0.4667,0.5333,0.0,0.0667,0.1333,0.3333,0.6,0.0,0.7333,0.5385,0.57,0.76
0.7333,0.0,0.4,0.6,0.0,0.4667,0.0,0.5333,0.0,0.1333,0.6667,0.0,0.2667,0.0,0.0,0.4,0.7692,0.05,0.29
0.6667,0.0,0.1333,0.6,0.2667,0.4,0.0667,0.1333,0.4667,0.0,0.6667,0.0667,0.3333,0.6,0.0,0.6667,0.6538,0.05,0.29
0.0667,0.0,0.4667,0.4667,0.0,0.4667,0.4667,0.5333,0.4667,0.4667,0.0,0.0667,0.6667,0.7333,0.0,0.9333,0.7692,0.4,0.53
0.0667,0.3333,0.6,0.5333,0.0667,0.2667,0.0667,0.4667,0.5333,0.0667,0.0,0.1333,0.4,0.4667,0.0,0.6667,0.6538,0.09,0.53
0.0667,0.0,0.8667,0.5333,0.0,0.0,0.2667,0.6667,0.6,0.0,0.0,0.1333,0.4,0.6667,0.0,0.6667,0.8077,0.61,0.79
0.0667,0.4,0.5333,0.5333,0.1333,0.4,0.0667,0.4667,0.4667,0.0,0.0667,0.2667,0.4,0.6,0.0,0.6667,0.0769,0.0,0.43
0.0667,0.2667,0.6,0.6,0.0667,0.4,0.0667,0.5333,0.4667,0.0,0.0,0.2,0.7333,0.5333,0.1333,0.8,0.2692,0.97,0.99
0.2,0.3333,0.7333,0.5333,0.1333,0.6,0.0667,0.4,0.4667,0.0,0.2,0.2667,0.3333,0.6,0.0,0.2,0.3077,0.71,0.71
0.5333,0.0667,0.4,0.6,0.0,0.2667,0.0,0.6,0.4667,0.0,0.6,0.0,0.4,0.8,0.0667,0.8,0.8077,0.0,0.36
0.3333,0.6,0.4,0.5333,0.0,0.4,0.0,0.4667,0.4667,0.0,0.1333,0.1333,0.4,0.5333,0.1333,0.7333,0.0385,0.1,0.45
0.0,0.0,0.7333,0.4667,0.0,0.2,0.0667,0.4667,0.3333,0.0,0.2,0.0667,0.6,0.6,0.0667,0.5333,0.8462,0.01,0.6
0.5333,0.3333,0.4,0.6,0.0,0.5333,0.1333,0.3333,0.5333,0.0,0.4667,0.4,0.1333,0.6667,0.1333,0.4667,0.4615,0.05,0.61
0.1333,0.0,0.6667,0.5333,0.0,0.4,0.0667,0.2,0.4667,0.0,0.2667,0.3333,0.1333,0.6,0.1333,0.6,0.5769,0.2,0.6
0.6667,0.0,0.4,0.5333,0.0,0.0667,0.0,0.5333,0.6,0.2,0.4,0.0,0.4667,0.4667,0.0667,0.4,0.1154,0.17,0.57
0.1333,0.3333,0.2,0.6,0.0,0.0667,0.2,0.2667,0.4,0.0667,0.1333,0.1333,0.4,0.6667,0.5333,0.5333,0.1154,0.62,0.86
0.0667,0.2667,0.6,0.6,0.0667,0.4,0.0667,0.5333,0.4667,0.0,0.1333,0.5333,0.4667,0.8,0.1333,0.5333,0.0385,0.04,0.69
0.0667,0.0,0.6667,0.4667,0.0,0.3333,0.1333,0.4,0.4,0.0,0.2667,0.0,0.4667,0.4667,0.0,0.7333,0.6154,0.47,0.74
